Boston, New York, USA	42.6289858 -78.7376213
Distrito Arcos, Buenos Aires, Argentina	-34.580034999999995 -58.427217090872006
Kuskoy, Giresun, Turkey	40.8726086 39.050399
Windom, Minnesota, USA	43.8663464 -95.1169366
Bad Reichenhall, Bavaria, Germany	47.7222676 12.8760923
Empoli, Tuscany, Italy	43.7194884 10.9458556
Platte City, Missouri, USA	39.3703535 -94.781086
Huntfield Heights, South Australia, Australia	-35.1522659 138.5123303
Waxahachie, Texas, USA	32.3944908 -96.8439365
Sidi Driss Hotel, Matmata, Tunisia	33.5425816 9.967051160815116
Rivas, Comunidad de Madrid, Spain	40.3643815 -3.5260695
Ealing London, England, UK	51.5126553 -0.3051952
Batoche, Saskatchewan, Canada	52.7560096 -106.1179376
Bristol, Indiana, USA	41.7214415 -85.8175361
Soperton, Georgia, USA	32.3771182 -82.5923554
Camden, New South Wales, Australia	-34.016087 150.71988490858
Sullivan's Island, South Carolina, USA	32.770151 -79.83133553033889
Monegros, Spain	41.70186905 -0.28502834874810407
Bernal, New Mexico, USA	35.3928231 -105.3175088
Westerwolde, Groningen, Netherlands	52.999464450000005 7.1404588700937754
Cloghane, County Kerry, Ireland	52.2350216 -10.1818296
Morehead, Kentucky, USA	38.1839705 -83.4326841
Newington, London, UK	51.4852627 -0.10158303133535646
South Amboy, New Jersey, USA	40.4821114 -74.2828828
Saint-Pierre-en-Port, Seine-Maritime, France	49.8069179 0.4946787
Maryville, Missouri, USA	40.3460468 -94.8723858
San Juanico, Hidalgo, Mexico	20.533333 -99.243611
Ferrybank, Waterford, Ireland	52.264444 -7.107778
Los Callejones, Castilla-La Mancha, Spain	40.7111201 -2.3845845
Zamosc, Lubelskie, Poland	50.721273 23.259588703837892
Georgia	32.3293809 -83.1137366
Irwin, Pennsylvania, USA	40.3301738 -79.7093339
North Bend, Oregon, USA	43.4065089 -124.2242824
Menthon Saint Bernard, France	45.8597877 6.1961189
Bridgewater, Nova Scotia, Canada	44.3774134 -64.5193946
Eze-Bord-de-Mer, Alpes-Maritimes, France	43.7216828 7.3563263
Corsico, Milano, Italy	45.4307217 9.1102326
Albion, VIC, Australia	-37.777232 144.82438959720713
Carthage, Texas, USA	32.1570412 -94.338114
Lisdoonvarna, Co Clare, Ireland	53.0266786 -9.270494880645934
Temanggung, Central Java	-7.3162377 110.1754504
Amber, Rajasthan, India	26.9888269 75.8558916
Scituate, Massachusetts, USA	42.1939754 -70.7697128
Nassau, Paradise Island, Bahamas	25.08335515 -77.3063341678734
Ayuthaya, Thailand	13.7041621 100.5053431
Andersen Air Force Base, Yigo, Guam	13.5811111 144.9244444
Leobendorf, Lower Austria, Austria	48.3774194 16.3198352
Rio Branco, Rio de Janeiro, Brazil	-22.9072848 -43.1774041
Tesanjska 15, Sarajevo, Bosnia	43.8605477 18.4019637
Bergen, Germany	49.7808936 7.4176059
Peak Forest, Derbyshire, UK	53.31834405 -1.8366491255929873
Okawville, Illinois, USA	38.4342164 -89.5503676
